dtcode23,dtcode11,stdtname,dtname,dtusename,stcode11,stcode23,st2code,stname
422,377,od_baleshwar,Baleshwar,baleshwar,21,21,OD,ODISHA
423,370,od_bargarh,Bargarh,bargarh,21,21,OD,ODISHA
424,391,od_baudh,Baudh,baudh,21,21,OD,ODISHA
425,378,od_bhadrak,Bhadrak,bhadrak,21,21,OD,ODISHA
426,381,od_cuttack,Cuttack,cuttack,21,21,OD,ODISHA
427,373,od_deogarh,Deogarh,deogarh,21,21,OD,ODISHA
428,383,od_dhenkanal,Dhenkanal,dhenkanal,21,21,OD,ODISHA
429,389,od_gajapati,Gajapati,gajapati,21,21,OD,ODISHA
430,388,od_ganjam,Ganjam,ganjam,21,21,OD,ODISHA
431,380,od_jagatsinghapur,Jagatsinghapur,jagatsinghapur,21,21,OD,ODISHA
432,382,od_jajapur,Jajapur,jajapur,21,21,OD,ODISHA
433,371,od_jharsuguda,Jharsuguda,jharsuguda,21,21,OD,ODISHA
434,395,od_kalahandi,Kalahandi,kalahandi,21,21,OD,ODISHA
435,390,od_kandhamal,Kandhamal,kandhamal,21,21,OD,ODISHA
436,379,od_kendrapara,Kendrapara,kendrapara,21,21,OD,ODISHA
437,375,od_kendujhar,Kendujhar,kendujhar,21,21,OD,ODISHA
438,386,od_khordha,Khordha,khordha,21,21,OD,ODISHA
439,398,od_koraput,Koraput,koraput,21,21,OD,ODISHA
440,399,od_malkangiri,Malkangiri,malkangiri,21,21,OD,ODISHA
441,376,od_mayurbhanj,Mayurbhanj,mayurbhanj,21,21,OD,ODISHA
442,397,od_nabarangapur,Nabarangapur,nabarangapur,21,21,OD,ODISHA
443,385,od_nayagarh,Nayagarh,nayagarh,21,21,OD,ODISHA
444,394,od_nuapada,Nuapada,nuapada,21,21,OD,ODISHA
445,387,od_puri,Puri,puri,21,21,OD,ODISHA
446,396,od_rayagada,Rayagada,rayagada,21,21,OD,ODISHA
447,372,od_sambalpur,Sambalpur,sambalpur,21,21,OD,ODISHA
448,392,od_sonepur,Sonepur,sonepur,21,21,OD,ODISHA
449,374,od_sundargarh,Sundargarh,sundargarh,21,21,OD,ODISHA
450,719,cg_balod,Balod,balod,22,22,CG,CHHATTISGARH
451,721,cg_baloda_bazar,Baloda Bazar,baloda_bazar,22,22,CG,CHHATTISGARH
452,716,cg_balrampur,Balrampur,balrampur,22,22,CG,CHHATTISGARH
453,718,cg_bametara,Bametara,bametara,22,22,CG,CHHATTISGARH
454,414,cg_bastar,Bastar,bastar,22,22,CG,CHHATTISGARH
455,417,cg_bijapur,Bijapur,bijapur,22,22,CG,CHHATTISGARH
456,406,cg_bilaspur,Bilaspur,bilaspur,22,22,CG,CHHATTISGARH
457,416,cg_dakshin_bastar_dantewada,Dakshin Bastar Dantewada,dakshin_bastar_dantewada,22,22,CG,CHHATTISGARH
458,412,cg_dhamtari,Dhamtari,dhamtari,22,22,CG,CHHATTISGARH
459,409,cg_durg,Durg,durg,22,22,CG,CHHATTISGARH
460,720,cg_gariaband,Gariaband,gariaband,22,22,CG,CHHATTISGARH
461,791,cg_gaurela-pendra-marwahi,Gaurela-Pendra-Marwahi,gaurela-pendra-marwahi,22,22,CG,CHHATTISGARH
462,405,cg_janjgir_-_champa,Janjgir - Champa,janjgir_-_champa,22,22,CG,CHHATTISGARH
463,402,cg_jashpur,Jashpur,jashpur,22,22,CG,CHHATTISGARH
464,407,cg_kabeerdham,Kabeerdham,kabeerdham,22,22,CG,CHHATTISGARH
465,722,cg_kondagaon,Kondagaon,kondagaon,22,22,CG,CHHATTISGARH
466,404,cg_korba,Korba,korba,22,22,CG,CHHATTISGARH
467,400,cg_koriya,Koriya,koriya,22,22,CG,CHHATTISGARH
468,411,cg_mahasamund,Mahasamund,mahasamund,22,22,CG,CHHATTISGARH
469,717,cg_mungeli,Mungeli,mungeli,22,22,CG,CHHATTISGARH
470,415,cg_narayanpur,Narayanpur,narayanpur,22,22,CG,CHHATTISGARH
472,410,cg_raipur,Raipur,raipur,22,22,CG,CHHATTISGARH
473,408,cg_rajnandgaon,Rajnandgaon,rajnandgaon,22,22,CG,CHHATTISGARH
474,723,cg_sukma,Sukma,sukma,22,22,CG,CHHATTISGARH
475,715,cg_surajpur,Surajpur,surajpur,22,22,CG,CHHATTISGARH
476,401,cg_surguja,Surguja,surguja,22,22,CG,CHHATTISGARH
477,413,cg_uttar_bastar_kanker,Uttar Bastar Kanker,uttar_bastar_kanker,22,22,CG,CHHATTISGARH
589,403,cg_raigarh,Raigarh,raigarh,22,22,CG,CHHATTISGARH
478,724,mp_agar_malwa,Agar Malwa,agar_malwa,23,23,MP,MADHYA PRADESH
479,465,mp_alirajpur,Alirajpur,alirajpur,23,23,MP,MADHYA PRADESH
480,461,mp_anuppur,Anuppur,anuppur,23,23,MP,MADHYA PRADESH
481,459,mp_ashoknagar,Ashoknagar,ashoknagar,23,23,MP,MADHYA PRADESH
482,457,mp_balaghat,Balaghat,balaghat,23,23,MP,MADHYA PRADESH
483,441,mp_barwani,Barwani,barwani,23,23,MP,MADHYA PRADESH
484,447,mp_betul,Betul,betul,23,23,MP,MADHYA PRADESH
485,420,mp_bhind,Bhind,bhind,23,23,MP,MADHYA PRADESH
486,444,mp_bhopal,Bhopal,bhopal,23,23,MP,MADHYA PRADESH
487,467,mp_burhanpur,Burhanpur,burhanpur,23,23,MP,MADHYA PRADESH
488,425,mp_chhatarpur,Chhatarpur,chhatarpur,23,23,MP,MADHYA PRADESH
489,455,mp_chhindwara,Chhindwara,chhindwara,23,23,MP,MADHYA PRADESH
490,428,mp_damoh,Damoh,damoh,23,23,MP,MADHYA PRADESH
491,422,mp_datia,Datia,datia,23,23,MP,MADHYA PRADESH
492,437,mp_dewas,Dewas,dewas,23,23,MP,MADHYA PRADESH
493,438,mp_dhar,Dhar,dhar,23,23,MP,MADHYA PRADESH
494,453,mp_dindori,Dindori,dindori,23,23,MP,MADHYA PRADESH
495,466,mp_east_nimar,East Nimar,east_nimar,23,23,MP,MADHYA PRADESH
496,458,mp_guna,Guna,guna,23,23,MP,MADHYA PRADESH
497,421,mp_gwalior,Gwalior,gwalior,23,23,MP,MADHYA PRADESH
498,448,mp_harda,Harda,harda,23,23,MP,MADHYA PRADESH
499,449,mp_hoshangabad,Hoshangabad,hoshangabad,23,23,MP,MADHYA PRADESH
500,439,mp_indore,Indore,indore,23,23,MP,MADHYA PRADESH
501,451,mp_jabalpur,Jabalpur,jabalpur,23,23,MP,MADHYA PRADESH
502,464,mp_jhabua,Jhabua,jhabua,23,23,MP,MADHYA PRADESH
503,450,mp_katni,Katni,katni,23,23,MP,MADHYA PRADESH
504,454,mp_mandla,Mandla,mandla,23,23,MP,MADHYA PRADESH
505,433,mp_mandsaur,Mandsaur,mandsaur,23,23,MP,MADHYA PRADESH
506,419,mp_morena,Morena,morena,23,23,MP,MADHYA PRADESH
507,452,mp_narsimhapur,Narsimhapur,narsimhapur,23,23,MP,MADHYA PRADESH
508,432,mp_neemuch,Neemuch,neemuch,23,23,MP,MADHYA PRADESH
509,782,mp_niwari,Niwari,niwari,23,23,MP,MADHYA PRADESH
510,426,mp_panna,Panna,panna,23,23,MP,MADHYA PRADESH
511,446,mp_raisen,Raisen,raisen,23,23,MP,MADHYA PRADESH
512,442,mp_rajgarh,Rajgarh,rajgarh,23,23,MP,MADHYA PRADESH
513,434,mp_ratlam,Ratlam,ratlam,23,23,MP,MADHYA PRADESH
514,430,mp_rewa,Rewa,rewa,23,23,MP,MADHYA PRADESH
515,427,mp_sagar,Sagar,sagar,23,23,MP,MADHYA PRADESH
516,429,mp_satna,Satna,satna,23,23,MP,MADHYA PRADESH
517,445,mp_sehore,Sehore,sehore,23,23,MP,MADHYA PRADESH
518,456,mp_seoni,Seoni,seoni,23,23,MP,MADHYA PRADESH
519,460,mp_shahdol,Shahdol,shahdol,23,23,MP,MADHYA PRADESH
520,436,mp_shajapur,Shajapur,shajapur,23,23,MP,MADHYA PRADESH
521,418,mp_sheopur,Sheopur,sheopur,23,23,MP,MADHYA PRADESH
522,423,mp_shivpuri,Shivpuri,shivpuri,23,23,MP,MADHYA PRADESH
523,462,mp_sidhi,Sidhi,sidhi,23,23,MP,MADHYA PRADESH
524,463,mp_singrauli,Singrauli,singrauli,23,23,MP,MADHYA PRADESH
525,424,mp_tikamgarh,Tikamgarh,tikamgarh,23,23,MP,MADHYA PRADESH
526,435,mp_ujjain,Ujjain,ujjain,23,23,MP,MADHYA PRADESH
527,431,mp_umaria,Umaria,umaria,23,23,MP,MADHYA PRADESH
528,443,mp_vidisha,Vidisha,vidisha,23,23,MP,MADHYA PRADESH
529,440,mp_west_nimar,West Nimar,west_nimar,23,23,MP,MADHYA PRADESH
530,474,gj_ahmadabad,Ahmadabad,ahmadabad,24,24,GJ,GUJARAT
531,480,gj_amreli,Amreli,amreli,24,24,GJ,GUJARAT
532,482,gj_anand,Anand,anand,24,24,GJ,GUJARAT
533,725,gj_aravalli,Aravalli,aravalli,24,24,GJ,GUJARAT
534,469,gj_banas_kantha,Banas Kantha,banas_kantha,24,24,GJ,GUJARAT
535,488,gj_bharuch,Bharuch,bharuch,24,24,GJ,GUJARAT
536,481,gj_bhavnagar,Bhavnagar,bhavnagar,24,24,GJ,GUJARAT
537,726,gj_botad,Botad,botad,24,24,GJ,GUJARAT
538,731,gj_chota_udaipur,Chota Udaipur,chota_udaipur,24,24,GJ,GUJARAT
539,728,gj_devbhumi_dwarka,Devbhumi Dwarka,devbhumi_dwarka,24,24,GJ,GUJARAT
540,485,gj_dohad,Dohad,dohad,24,24,GJ,GUJARAT
541,473,gj_gandhinagar,Gandhinagar,gandhinagar,24,24,GJ,GUJARAT
542,729,gj_gir_somnath,Gir Somnath,gir_somnath,24,24,GJ,GUJARAT
543,477,gj_jamnagar,Jamnagar,jamnagar,24,24,GJ,GUJARAT
544,479,gj_junagadh,Junagadh,junagadh,24,24,GJ,GUJARAT
545,468,gj_kachchh,Kachchh,kachchh,24,24,GJ,GUJARAT
546,483,gj_kheda,Kheda,kheda,24,24,GJ,GUJARAT
547,471,gj_mahesana,Mahesana,mahesana,24,24,GJ,GUJARAT
