dtcode23,dtcode11,stdtname,dtname,dtusename,stcode11,stcode23,st2code,stname
696,752,ts_jangoan,Jangoan,jangoan,36,33,TS,TELANGANA
697,750,ts_jayashankar,Jayashankar,jayashankar,36,33,TS,TELANGANA
698,744,ts_jogulamba_gadwal,Jogulamba Gadwal,jogulamba_gadwal,36,33,TS,TELANGANA
699,736,ts_kamareddy,Kamareddy,kamareddy,36,33,TS,TELANGANA
700,534,ts_karimnagar,Karimnagar,karimnagar,36,33,TS,TELANGANA
701,541,ts_khammam,Khammam,khammam,36,33,TS,TELANGANA
702,733,ts_kumuram_bheem_asifabad,Kumuram Bheem Asifabad,kumuram_bheem_asifabad,36,33,TS,TELANGANA
703,751,ts_mahabubabad,Mahabubabad,mahabubabad,36,33,TS,TELANGANA
704,538,ts_mahabubnagar,Mahabubnagar,mahabubnagar,36,33,TS,TELANGANA
705,735,ts_mancherial,Mancherial,mancherial,36,33,TS,TELANGANA
706,535,ts_medak,Medak,medak,36,33,TS,TELANGANA
707,742,ts_medchal_malkajgiri,Medchal Malkajgiri,medchal_malkajgiri,36,33,TS,TELANGANA
708,780,ts_mulugu,Mulugu,mulugu,36,33,TS,TELANGANA
709,746,ts_nagarkurnool,Nagarkurnool,nagarkurnool,36,33,TS,TELANGANA
710,539,ts_nalgonda,Nalgonda,nalgonda,36,33,TS,TELANGANA
711,781,ts_narayanpet,Narayanpet,narayanpet,36,33,TS,TELANGANA
712,734,ts_nirmal,Nirmal,nirmal,36,33,TS,TELANGANA
713,533,ts_nizamabad,Nizamabad,nizamabad,36,33,TS,TELANGANA
714,738,ts_peddapalli,Peddapalli,peddapalli,36,33,TS,TELANGANA
715,739,ts_rajanna_sircilla,Rajanna Sircilla,rajanna_sircilla,36,33,TS,TELANGANA
716,537,ts_ranga_reddy,Ranga Reddy,ranga_reddy,36,33,TS,TELANGANA
717,740,ts_sangareddy,Sangareddy,sangareddy,36,33,TS,TELANGANA
718,741,ts_siddipet,Siddipet,siddipet,36,33,TS,TELANGANA
719,748,ts_suryapet,Suryapet,suryapet,36,33,TS,TELANGANA
720,743,ts_vikarabad,Vikarabad,vikarabad,36,33,TS,TELANGANA
721,745,ts_wanaparthy,Wanaparthy,wanaparthy,36,33,TS,TELANGANA
722,749,ts_warangal_rural,Warangal Rural,warangal_rural,36,33,TS,TELANGANA
723,540,ts_warangal_urban,Warangal Urban,warangal_urban,36,33,TS,TELANGANA
724,747,ts_yadadri_bhuvanagiri,Yadadri Bhuvanagiri,yadadri_bhuvanagiri,36,33,TS,TELANGANA
725,805,ap_alluri_sitharama_raju,Alluri Sitharama Raju,alluri_sitharama_raju,37,34,AP,ANDHRA PRADESH
726,804,ap_anakapalli,Anakapalli,anakapalli,37,34,AP,ANDHRA PRADESH
727,553,ap_anantpur,Anantpur,anantpur,37,34,AP,ANDHRA PRADESH
728,813,ap_annamayya,Annamayya,annamayya,37,34,AP,ANDHRA PRADESH
729,810,ap_bapatla,Bapatla,bapatla,37,34,AP,ANDHRA PRADESH
730,554,ap_chittoor,Chittoor,chittoor,37,34,AP,ANDHRA PRADESH
731,545,ap_east_godavari,East Godavari,east_godavari,37,34,AP,ANDHRA PRADESH
732,808,ap_eluru,Eluru,eluru,37,34,AP,ANDHRA PRADESH
733,548,ap_guntur,Guntur,guntur,37,34,AP,ANDHRA PRADESH
734,806,ap_kakinada,Kakinada,kakinada,37,34,AP,ANDHRA PRADESH
735,807,ap_konaseema,Konaseema,konaseema,37,34,AP,ANDHRA PRADESH
736,547,ap_krishna,Krishna,krishna,37,34,AP,ANDHRA PRADESH
737,552,ap_kurnool,Kurnool,kurnool,37,34,AP,ANDHRA PRADESH
738,809,ap_ntr,NTR,ntr,37,34,AP,ANDHRA PRADESH
739,815,ap_nandyal,Nandyal,nandyal,37,34,AP,ANDHRA PRADESH
740,811,ap_palnadu,Palnadu,palnadu,37,34,AP,ANDHRA PRADESH
741,803,ap_parvathipuram_manyam,Parvathipuram Manyam,parvathipuram_manyam,37,34,AP,ANDHRA PRADESH
742,549,ap_prakasam,Prakasam,prakasam,37,34,AP,ANDHRA PRADESH
743,550,ap_sri_potti_sriramulu_nell*,Sri Potti Sriramulu Nell*,sri_potti_sriramulu_nell*,37,34,AP,ANDHRA PRADESH
744,814,ap_sri_sathya_sai,Sri Sathya sai,sri_sathya_sai,37,34,AP,ANDHRA PRADESH
745,542,ap_srikakulam,Srikakulam,srikakulam,37,34,AP,ANDHRA PRADESH
746,812,ap_tirupati,Tirupati,tirupati,37,34,AP,ANDHRA PRADESH
747,544,ap_visakhapatnam,Visakhapatnam,visakhapatnam,37,34,AP,ANDHRA PRADESH
748,543,ap_vizianagaram,Vizianagaram,vizianagaram,37,34,AP,ANDHRA PRADESH
749,546,ap_west_godavari,West Godavari,west_godavari,37,34,AP,ANDHRA PRADESH
750,551,ap_y_s_r_,Y.S.R.,y_s_r_,37,34,AP,ANDHRA PRADESH
751,4,la_kargil,Kargil,kargil,38,35,LA,LADAKH
752,3,la_leh,Leh,leh,38,35,LA,LADAKH
753,496,dn_dadra_&_nagar_haveli,Dadra & Nagar Haveli,dadra_&_nagar_haveli,39,36,DN,"DADRA,NAGAR HAVELI,DAMAN & DIU"
754,495,dn_daman,Daman,daman,39,36,DN,"DADRA,NAGAR HAVELI,DAMAN & DIU"
755,494,dn_diu,Diu,diu,39,36,DN,"DADRA,NAGAR HAVELI,DAMAN & DIU"
